      134862         247
  0.272606963913835       0.241376776591279       0.213727239622155     
  0.189250535935347       0.167580319976794       0.148394154348429     
  0.131408640591236       0.116372411274989       0.103060053036007     
  9.127405362481344E-002  8.084012190064174E-002  7.160271075493460E-002
  6.342488592103149E-002  5.618466742549711E-002  4.977493634128222E-002
  4.410042003520510E-002  3.907654709430643E-002  3.462891012861984E-002
  3.069131165431509E-002  2.720534223800375E-002  2.411923573838662E-002
  2.138699714440299E-002  1.896805077640629E-002  1.682659972145953E-002
  1.493075434191478E-002  1.325230159537060E-002  1.176635218161968E-002
  1.045082628184845E-002  9.286187875748845E-003  8.255107573392460E-003
  7.342271078450823E-003  6.534126916400049E-003  5.818665906797303E-003
  5.185263989724383E-003  4.624506214554489E-003  4.128058299249941E-003
  3.688545209353558E-003  3.299437482825612E-003  2.954954246784838E-003
  2.649982175366426E-003  2.379985593554635E-003  2.140953482548892E-003
  1.929335251762422E-003   3.20000002163530        4.96894412101418     
   7.71575172874536        7.71575172874537        7.71575172874536     
   7.66812363178790        7.66812363178790        7.71575172874536     
   7.71575172874537        7.71575172874536        7.71575172874535     
   7.71575172874538        7.71575172874538        7.71575172874536     
   7.66812363178789        7.66812363178789        7.71575172874536     
   7.71575172874536        7.71575172874536        2.48447207132474     
  0.800000021635299       0.747663573037168       0.900799481155625     
   2621816.03185306        7013409.74740670        9683166.89104117     
   4507192.46328030        16276.8257067044        7523.09797395076     
   8051.43765090606        9222.31659753739        10560.5198220178     
   12080.4450472553        13820.0290764726        14787.4310838318     
   13871.8865949588        12211.1678251294        10757.9379827896     
   9458.99195885092        8317.86361671164        7330.61382153909     
   6449.44034119019        5675.19785124097        5003.38755542425     
   4401.07906996674        3868.93675307223        3408.26340125423     
   3000.81834786528        2641.99818373668        2325.44545387764     
   2045.65487461821        1799.62345806585        1584.94761102733     
   1395.43280470135        1308.27016192755        1395.43280470135     
   1584.94761102732        1799.62345806584        2045.65487461822     
   2325.44545387764        2641.99818373668        3000.81834786528     
